key,scientificName,longitude,latitude,coordinateUncertaintyInMeters,eventDate,year,source,dataset,URL
OBI161703,Phacelia imbricata,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630526
SJSUC16473,Frullania catalinae,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631076
SJSUC12955,Orthotrichum coulteri,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631077
SJSUC13921,Syntrichia princeps,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631078
SJSUC16472,Frullania catalinae,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631079
SJSUC16589,Porella cordaeana,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631080
SJSUC16190,Tortula brevipes,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631081
SJSUC11100,Fissidens crispus,-120.45596,34.52481,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-5968412
SBBG180545,Artemisia californica,-120.45489,34.5291,3989,2019-05-10,2019,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3825126
UCSB062677,Mucronea californica,-120.473074,34.504951,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297574
OBI161695,Erigeron canadensis,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630607
OBI166791,Lastarriaea coriacea,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630608
OBI161557,Datura wrightii,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630609
OBI161590,Heterotheca grandiflora,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630610
OBI161720,Mucronea californica,-120.473074,34.504951,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630611
OBI164512,Leptosyne gigantea,-120.473074,34.498752,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630613
OBI161712,Rhus integrifolia,-120.473074,34.498752,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630614
OBI161700,Baccharis pilularis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630527
OBI174289,Juglans californica,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630528
OBI174293,Lonicera hispidula,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630529
OBI166788,Clematis ligusticifolia,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630530
OBI161709,Sambucus nigra ssp. caerulea,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630532
OBI161672,Marah macrocarpa,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630533
OBI161625,Keckiella cordifolia,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630534
OBI161699,Heteromeles arbutifolia,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3677726
UCSB062652,Asclepias fascicularis,-120.454892,34.529129,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297550
UCSB062666,Eucrypta chrysanthemifolia,-120.454892,34.529129,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297564
UCSB062661,Juglans californica,-120.454892,34.529129,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297565
UCSB062678,Madia gracilis,-120.454892,34.529129,10,2019-05-10,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5297573
OBI161658,Cordylanthus rigidus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630589
OBI161659,Plantago erecta,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630591
OBI161687,Luzula subsessilis,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630592
OBI161688,Hieracium argutum,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630593
OBI166793,Ribes malvaceum,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630594
OBI161689,Rubus ursinus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630595
OBI161660,Acmispon americanus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630596
